date,model,cpu,ram,hd,condition,damage,url,sold_for,shipping,total
2019-04-17,T470s,i5-6300U,12,256,open box,none,https://www.ebay.com/itm/New-Lenovo-ThinkPad-T470s-i5-6300U-2-4Ghz-14-NMVe-SSD-12GB-Ultrabook-Win-10/273797631366,715.41,0,715.41
2019-04-14,T470s,i5-6300U,8,256,used,wear,https://www.ebay.com/itm/Lenovo-ThinkPad-T470s-i5-6300U-2-4Ghz-14-FHD-1080P-IPS-8GB-256GB-WRT-Win-10-PRO/173866133176,455,13.5,468.5
2019-04-26,T470s,i7-7500U,8,256,used,wear,https://www.ebay.com/itm/Lenovo-ThinkPad-T470s-14-034-256GB-Intel-Core-i7-7th-Gen-2-70GHz-8GB-/303131240915?nma=true&si=Jk3faTgpkV1vulgrsRLfRHmLJxY%253D&orig_cvip=true&nordt=true&rt=nc&_trksid=p2047675.l2557,490,0,490
2019-04-25,T470s,i7-7600U,8,256,used,wear,https://www.ebay.com/itm/Lenovo-ThinkPad-T470s-i7-7600U-2-80GHz-8GB-256GB-SSD-FHD-/183779795790?nma=true&si=Jk3faTgpkV1vulgrsRLfRHmLJxY%253D&orig_cvip=true&nordt=true&rt=nc&_trksid=p2047675.l2557,560,0,560
2019-04-25,T470s,i7-7600U,16,0,used,none,https://www.ebay.com/itm/Lenovo-ThinkPad-T470s-14-i7-7600U-2-8GHz-16GB-DDR4-No-HDD-No-OS-J0599/333167272161,551,58.03,609.03
2019-04-25,T470s,i5-6300U,20,256,used,wear,https://www.ebay.com/itm/lenovo-thinkpad-T470s-See-Picture-For-Specs-Pre-Owned-In-Excellent-Condition/192892989303,479,38.38,517.38
2019-04-24,T470s,i7-7600U,12,0,used,none,https://www.ebay.com/itm/Lenovo-ThinkPad-T470s-Laptop-intel-Core-i7-7600U-2-80GHz-12GB-DDR4-NO-HDD-NO-OS/283455451965,558,0,558
2019-04-24,T470s,i7-7600U,16,512,used,wear,https://www.ebay.com/itm/Lenovo-ThinkPad-T470s-i7-7600U-2-80GHz-16GB-512GB-SSD-FHD-/183778564682?nma=true&si=Jk3faTgpkV1vulgrsRLfRHmLJxY%253D&orig_cvip=true&nordt=true&rt=nc&_trksid=p2047675.l2557,609,0,609
2019-04-24,T470s,i5-7300U,,256,used,wear,https://www.ebay.com/itm/Lenovo-ThinkPad-T470s-14-256GB-Intel-Core-i5-7300U-2-60GHz/163662037361,480,0,480
2019-04-29,T460s,i5-6300U,8,0,used,wear,https://www.ebay.com/itm/Lenovo-ThinkPad-T460S-i5-6300U-2-4GHz-8GB-DDR4-No-HDD-No-OS-J0654/333169302945,318,15,333
2019-04-29,T470s,i7-7600U,12,0,used,wear,https://www.ebay.com/itm/Lenovo-ThinkPad-T470s-Laptop-intel-Core-i7-7600U-2-80GHz-12GB-DDR4-NO-HDD-NO-OS/283459775417,480,0,480
2019-04-28,T460s,i5-6300U,8,256,used,wear,https://www.ebay.com/itm/Lenovo-Thinkpad-T460s-i5-6300U-8GB-DDR4-256GB-SSD-FHD-IPS-Win-7-Pro/113729787488,340,31.33,371.33
2019-04-28,T470s,i5-6300U,12,256,open box,none,https://www.ebay.com/itm/New-Lenovo-ThinkPad-T470s-i5-6300U-2-4Ghz-14-NMVe-SSD-12GB-Ultrabook-Win-10/273812471241,609,44,653
2019-04-28,T460s,i7-6600U,12,256,used,wear,https://www.ebay.com/itm/Lenovo-Thinkpad-T460s-i7-12GB-RAM-256-SSD/254207039603,381,17,398
